BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2458818.321710,0.93172,0.01770,1.7692,-0.93,0.43,8.03,24831
2458818.322428,0.95519,0.01762,1.7717,-0.29,0.49,7.48,27818
2458818.323134,0.95303,0.01769,1.7742,-1.54,0.54,7.27,31361
2458818.323851,0.97399,0.01764,1.7769,-0.39,0.22,6.95,33229
2458818.324569,0.98294,0.01764,1.7796,-0.64,0.30,6.89,35173
2458818.325275,0.96263,0.01779,1.7823,-0.48,0.48,7.43,30470
2458818.325993,0.98557,0.01745,1.7851,-0.45,0.70,6.85,37042
2458818.326710,0.96090,0.01744,1.7880,-0.96,0.54,6.71,34695
2458818.327428,1.01366,0.01768,1.7909,-1.44,0.79,6.89,32436
2458818.328145,1.01263,0.01759,1.7939,-0.72,0.87,7.00,30361
2458818.328852,0.99355,0.01770,1.7968,-0.47,0.09,7.33,33394
2458818.329570,0.99215,0.01764,1.8000,-1.44,0.93,6.41,37352
2458818.330288,1.01791,0.01778,1.8031,-0.90,1.06,7.05,35490
2458818.330994,1.02446,0.01786,1.8063,-0.70,0.47,6.95,34062
2458818.331711,1.00555,0.01797,1.8096,-0.36,0.44,6.49,37601
2458818.332429,1.06923,0.01819,1.8129,-0.91,0.89,7.26,31698
2458818.333146,1.03737,0.01832,1.8163,-1.17,0.35,7.52,26787
2458818.333852,1.00734,0.01845,1.8197,-0.59,1.92,7.52,27220
2458818.334570,1.02607,0.01831,1.8232,-1.54,0.18,7.60,29109
2458818.335288,0.99770,0.01880,1.8268,-1.30,1.26,8.16,24006
2458818.336005,1.00129,0.01884,1.8305,-0.88,1.10,8.06,22615
2458818.336711,1.01023,0.01844,1.8342,-0.56,0.70,7.45,26487
2458818.337429,1.00295,0.01871,1.8379,-1.18,0.55,7.60,24998
2458818.338146,1.03541,0.01890,1.8418,-0.93,0.72,7.77,26701
2458818.338852,1.02856,0.01876,1.8456,-1.09,0.70,8.07,26966
2458818.339570,0.97866,0.01881,1.8496,-0.86,1.57,8.03,24408
2458818.340288,0.99712,0.01910,1.8537,-1.42,1.06,7.92,24130
2458818.341005,1.00710,0.01863,1.8578,-1.06,1.26,7.42,27959
2458818.341711,1.00242,0.01879,1.8619,-0.76,0.65,7.35,26891
2458818.342430,0.99989,0.01894,1.8662,-1.38,1.05,7.61,26958
2458818.343147,1.03754,0.01922,1.8705,-1.20,1.57,8.13,23787
2458818.343853,0.98644,0.01872,1.8749,-1.51,1.09,7.71,26045
2458818.344571,1.01209,0.01886,1.8793,-1.18,0.48,7.38,28977
2458818.345288,1.01295,0.01896,1.8839,-1.04,1.73,8.01,25928
2458818.345995,1.02875,0.01899,1.8884,-1.14,0.77,7.74,26848
2458818.346712,1.02104,0.01884,1.8931,-1.50,1.38,7.43,27144
2458818.347430,1.00215,0.01920,1.8979,-1.16,0.63,7.75,26264
2458818.348147,1.02266,0.01887,1.9028,-1.36,1.10,7.23,30012
2458818.348853,1.02982,0.01915,1.9076,-0.80,1.86,7.64,25660
2458818.349571,1.02853,0.01893,1.9126,-1.40,1.86,7.70,26589
2458818.350289,1.01210,0.01925,1.9177,-1.90,1.60,8.24,23471
2458818.350995,1.01867,0.01888,1.9228,-1.77,0.77,7.41,28136
2458818.351712,1.02902,0.01903,1.9280,-0.93,1.13,7.50,28077
2458818.352430,1.03754,0.01908,1.9334,-1.52,1.26,7.51,26638
2458818.353136,1.01506,0.01942,1.9387,-1.30,1.73,7.84,24294
2458818.353853,1.01223,0.01985,1.9442,-1.93,1.17,7.69,23153
2458818.354571,1.01751,0.02034,1.9498,-1.21,1.76,8.53,20050
2458818.355289,0.98903,0.01998,1.9554,-1.91,1.41,7.99,23097
2458818.355996,1.01018,0.01986,1.9611,-1.86,1.72,8.68,23151
2458818.356713,1.02539,0.02015,1.9669,-1.50,1.37,8.14,23547
2458818.357431,1.01655,0.02012,1.9729,-2.26,1.21,9.00,22778
2458818.358137,1.01034,0.01987,1.9788,-1.38,1.28,7.50,25826
2458818.358854,0.99333,0.02086,1.9849,-1.64,1.71,8.80,20513
2458818.359572,1.03054,0.02034,1.9911,-1.85,2.40,7.77,24673
2458818.360290,1.00983,0.02032,1.9974,-0.83,1.77,8.39,24382
